vedette	inversée	étymologie avec grec
ankyloglosse	essolgolykna	de άγκύλη, frein, et γλώσσα, langue 
ankyloglossotome	emotossolgolykna	de ankyloglosse, et τέμνειν, couper
ankylomèle	elèmolykna	de αγκύλος, courbé, et μηλη, sonde
ankylomérisme	emsirémolykna	de άγκύλη, frein, et μέρος, partie
ankylopodie	eidopolykna	de άγκύλη, frein, et ποΰς, pied
ankyloprocjie	eijcorpolykna	de άγκύλη, frein, et πρωκτός, anus
ankylorrhinie	einihrrolykna	de άγκύλη, frein, et piv, nez
ankylostome	emotsolykna	de αγκύλος, courbe, et στόμα, bouche
ankylotie	eitolykna	de άγκύλη, frein, et συς, ώτος, oreille
ankylotome	emotolykna	de αγκύλος, courbé, et τομή, section
ankyluréthrie	eirhtérulykna	de άγ^,· frein, et urèthre
anocœliadelphe	ehpledailœcona	de άνω, en haut, κοιλία, ventre, et άδελφος, frère
anode	edona	de άνά, en haut, et οδός, voie 
anodin	nidona	de αν priv., et οδύνη, douleur 
anodonte	etnodona	de αν priv., et οδούς, dent
anomal	lamona	de a privatif, et νόμος, loi, règle
anomalonomie	eimonolamona	de anomal, et νόμες,· loi
anomocéphale	elahpécomona	de a privatif, νόμος, règle, et κεφαλή, tête
anonychie	eihcynona	de αν privatif, et όνυξ, όνυχες, ongle
anonyme	emynona	de αν privatif, et όνομα, nom 
anoopsie	eispoona	de άνω, en haut, et ώφ, œil
anophthalmie	eimlahthpona	de αν privatif, et οφθαλμός, œil
anophthalmohémie	eiméhomlahthpona	de αν privatif, οφθαλμός, œil, et αίμα, sang
anoplothérium	muiréhtolpona	de αν privatif, επλεν, arme, et θηρίου, animal
anoploures	seruolpona	de αν privatif, .επλεν, arme, et ούρα, queue
anopsie	eispona	de αν privatif, et ωψ, œil
anopticonervie	eivrenocitpona	de αν privatif, οπτικός, qui sert à la vue, et nervus, nerf
anorchide	edihcrona	de αν privatif, et ερχις, testicule
anorexie	eixerona	de αν privatif, et ερέξις, appétit
anorganique	euqinagrona	de αν privatif, et organique
anorganochimie	eimihconagrona	de αν priv., όργανον, organe, et chimie
anorganographie	eihpargonagrona	de αν privatif, όργανον, organe, et γραφή, description, ou λόγο discours
anorthose	esohtrona	de αν priv., et ορθός, droit
anosmie	eimsona	de αν privatif, et οσμή, odeur, ou όσφρησις, odorat
anostose	esotsona	de αν priv., et οστέον, os
anote	etona	de αν priv., et οδς, oreille
anoure	eruona	de αν privatif, et ούρα, queue
antagonisme	emsinogatna	de αντί, contre, et άγωνίζειν, agir, faire effort
antéphialtique	euqitlaihpétna	de αντί, contre, et εφιάλτης, cauchemar
anthélix	xiléhtna	de αντί, contre, opposé, et ελιξ, l’hélix
anthelminthique	euqihtnimlehtna	de αντί, contre, et ελμινς, ver
anthémium	muiméhtna	de άνθημα, floraison
anthère	erèhtna	de άνθηρός, fleuri, qui luimême vient de άνθος, fleur
anthérythrine	enirhtyréhtna	de άνθες, fleur, et ερυθρός, rouge
anthèse	esèhtna	de ίώπης, floraison
anthin	nihtna	de άνθινος, fleuri, de άνθος, fleur
anthocyane	enaycohtna	de άνθος, fleur, et κυανός, bleu
anthode	edohtna	de άνθος, fleur
anthologie	eigolohtna	de άνθος, fleur, et λο'γος, discours
anthophore	erohpohtna	de άνθος, fleur, et φε'ρω, je porte
anthorrhize	ezihrrohtna	de άνθος, fleur, et ρίζα, racine
anthos	sohtna	de άνθος, fleur
anthoxanthine	enihtnaxohtna	de άνθος, fleur, et ξανθός, jaune
anthracite	eticarhtna	de ανθρακίτης, qui ressemble à‘ du charbon 
anthracoïde	edïocarhtna	de άνθραξ, charbon, et ει^ος; forme
anthracokali	ilakocarhtna	de άνθραξ, άνθρακες, charbon, et k di, no n de la potasse
anthracose	esocarhtna	de άνθρακούν, transformer en charbon
anthropochimie	eimihcoporhtna	de άνθρωπος, homme, βίχυμία, chimie
anthropoforme	emrofoporhtna	de άνθρωπος, homme, et forma, forme
anthropogénie	einégoporhtna	de άνθρωπος, homme, et γε'νεσις, génération
anthropographie	eihpargoporhtna	de άνθρωπος, homme, et γραφή, description
anthropologie	eigoloporhtna	de άνθρωπος, homme, et λόγος, discours
anthropomagnétisme	emsiténgamoporhtna	de άνθρωπος, homme, et magnétisme
anthropométrie	eirtémoporhtna	de άνθρωπος, homme, et μέτρον, mesure
anthropomorphe	ehpromoporhtna	de άνθρωπος, homme, et μορφή, forme
anthropomorphologie	eigolohpromoporhtna	de άνθρωπος, homme, μορφή, forme, et λόγος, description
anthroponomie	eimonoporhtna	de άνθρωπος, homme, et νόμος, loi
anthropophage	egahpoporhtna	de άνθρωπος, homme, et φαγεΐν, manger
anthropophagie	eigahpoporhtna	de άνθρωπος, homme, et φαγεΐν, manger
anthropophobie	eibohpoporhtna	de άνθρωπος, homme, et φόβος, crainte
anthroposcopie	eipocsoporhtna	de άνθρωπος, homme, et σκοπεΐν, examiner
anthroposomatologie	eigolotamosoporhtna	de άνθρωπος, homme, σώμα, corps, et λόγος, discours
anthroposophie	eihposoporhtna	de άνθρωπος, homme, et σοφία, connaissance
anthropothérapie	eiparéhtoporhtna	de άνθρωπος, homme, et θεραπεία, traitement
anthropotomie	eimotoporhtna	de άνθρωπος, homme, et τομή, section
anthurus	suruhtna	de άνθος, fleur, et ούρα, queue
anthydriase	esairdyhtna	de αντί, co ntre, et υίωρ, eau
anthypnotique	euqitonpyhtna	de αντί, contre, et ύπνος, sommeil
anti	itna	de αντί, contre
antiadite	etidaitna	de άντιάίες, les amygdales
anticardium	muidracitna	de αντί, en avant, et zapJh, cœur
antichir	rihcitna	de άντί, contre, et χειρ, la main
antichirotone	enotorihcitna	de άντίχειρ, pouce, et τόνος, contraction
anticope	epocitna	contre-coup de άντί, contre, et κόπτειν, frapper
anticoposcope	epocsopocitna	deάvτtκcπτl, résonnance,, et σκοπεΐν, examiner
antidinique	euqiniditna	de άντί, contre, et δΐνος, vertige
antidote	etoditna	de άντί, contre, et δοτός, donné
antiherpétique	euqitéprehitna	de άντί, contré, et ερπης, dartre
antileptique	euqitpelitna	de αντιληπτικός, qui est propre à saisir, de άντί, contre, et λαμβάνει?, prendre
antilithique	euqihtilitna	de άντί, contre, et λίθος, pierre
antilobe	ebolitna	de άντί, contre, opposé, et λόβσς, lobe
antilœmique	euqimœlitna	de άντί, contre, et λοιμό:, peste
antilope	epolitna	de άνθο'λοψ, animal inconnu, dont le nom a été appliqué par les modernes à Vantilope : on le tire de άνθος, fleur, et ώψ, regard, à cause de l’œil, qui est dans cet animal d’une grande beauté; mais cette dérivation est une pure hypothèse ;
antilysse	essylitna	de άντί, contre, et λύσσα, rage
antimoine	eniomitna	On a supposé à tort que le | nom de ce métal venait de l’action énergique et funeste i qu’il aurait eue sur des moines qui en étudiaient les pro- ' priétés. Il paraît être une altération, assez facile d’ailleurs, I de l’arabe athmqud, antimoine, dont la forme propre est ithmid; et à son tour ithmid paraît une corruption du grec στίμμι
antiorgistique	euqitsigroitna	de άντι, et βργάν, être en orgasme
antipathie	eihtapitna	de άντι, contre, et πάθες, affection
antipéristaltique	euqitlatsirépitna	de άντι, contre, et péristaltique
antipharmaque	euqamrahpitna	de άντι, contre, et φάρμακον, poison
antiphlogistique	euqitsigolhpitna	de αντί, contre, et φλέξ, φλόγες, flamme 
antiphthikiyque	euqyikihthpitna	de αντί, contre, et φθείρ, pou
antiphysique	euqisyhpitna	de άντι, contre, et φύσις, nature
antipsorique	euqirospitna	de άντι, contre, ef ψώρα, gale
antiseptique	euqitpesitna	de άντι, contre, et σίψις, putréfaction
antisialagogue	eugogalaisitna	de άντί, contre, et sialagogue
antispase	esapsitna	révulsion de άντί, en sens contraire, et σπάω, je tire
antispasmodique	euqidomsapsitna	de άντί, contre, et spasmodique
antispastique	euqitsapsitna	de άντί, contre, et σπάω, je tire, je cause des spasmes
antitoxique	euqixotitna	de άντί, contre, te et ταξικόν, poison
antitrope	eportitna	de άντί, opposé, et τοεπειν, tourner
antizymique	euqimyzitna	de ζύμη, levain
anurèse	esèruna	de αν priv., etoùoov, urine
aortarctie	eitcratroa	de αορτή, aorte, et orctare, rétrécir
aortectasie	eisatcetroa	de αορτή, aorte, et έκτασις, dilatation
aortévrysme	emsyrvétroa	de αορτή, aorte, et εΰρυς, dilaté
apanthropie	eiporhtnapa	de από, loin, et άνθρωπος, homme
apathie	eihtapa	de a priv., et πάθος, passion
apepsie	eispepa	de a privatif, et de πέψις, coction, digestion
apéritrope	eportirépa	de a priv., et περιτροπή, changement
apétale	elatépa	de a priv., et de πέταλο?, pétale
aphakie	eikahpa	de a priv., et-φακός, lentille
aphaniptères	serètpinahpa	de αφανής, invisible, et πτερών, aile
aphaque	euqahpa	de a privatif, et φακός, lentille, cristallin
aphasie	eisahpa	de a priv., et φάσις, parole
aphémie	eiméhpa	deapriv., εΐφημί, je parle
aphérèse	esèréhpa	de άπό, de, et αίρειν, ôter
aphonie	einohpa	de a priv., et φωνή son, voix
aphorie	eirohpa	de a priv., et φέρειν, porter
aphorisme	emsirohpa	de άφορίζει?, définir
aphrasie	eisarhpa	de a priv., et φράζειν, parler
aphrodisiaque	euqaisidorhpa	de άφροό'ίσια, plaisirs de Vénus, de Αφροδίτη, Vénus
aphrodisiographie	eihpargoisidorhpa	de άφρεύ'ίσια, et γραφή, description
aphrodite2	etidorhpa	de Αφροό'ίτη, Vénus
aphthoïde	edïohthpa	de άφβζι, aphthes, et ειό'ος, forme
aphthongie	eignohthpa	de a privatif, et φθόγγος, son
aphthophyte	etyhpohthpa	de άφθζι, aphthes,et φυτόν, végétal
aphylle	ellyhpa	de a priv., et φύλλου, feuille
apleurie	eiruelpa	de a priv., et πλευρά, plèvre
apnée	eénpa	de a priv., et πυεΐν, respirer
apnéosphyxie	eixyhpsoénpa	de apnée, et σφύξες, pulsation
apneumie	eimuenpa	de a priv., et πυεύαωυ, poumon
apneuste	etsuenpa	de a priv., et πυεΐυ, respirer
apneustie	eitsuenpa	de άπυευστες
apocénose	esonécopa	de άπε, hors, et κέυωσις, évacuation
apocope	epocopa	de άπε, de, et κεπτειυ, couper
apocrénique	euqinércopa	de άπε, de, et κρήυη, fontaine
apocrisie	eisircopa	de άπεκρίυειυ, séparer
apocyn	nycopa	de άπέ, marquant éloignement, et κύωυ, chien, la plante étant regardée comme vénéneuse pour les chiens
apodacrytique	euqityrcadopa	de από, sans, et δάκρυ, larmes
apode	edopa	de a priv., et ποϋς, ποδός, pied
apodème	emèdopa	de από, et δέμα, lien
apodémialgie	eiglaimédopa	de άπαδημία, voyage, et άλγος, souffrance
apodictique	euqitcidopa	de αποδεικτικός, démonstratif
apodie	eidopa	de a priv., et ποϋς, ποδός, pied
apogalactisme	emsitcalagopa	de απογαλακτίζει?, sevrer, de από, marquant séparation, et γάλα, lait
apolépisme	emsipélopa	de από, de, et λεπίς, squame
apolepsie	eispelopa	de άπόληψις, suppression
apomorphose	esohpromopa	de άπό, hors, et μορφή,·forme
apomyttose	esottymopa	de άπό, de, hors, et μύττειν, se moucher
aponévrographie	eihpargorvénopa	de àmνεύρωσις, aponévrose, et γραφή, description
aponévrologie	eigolorvénopa	de άπονεύρωσι;, aponévrose, et λόγος, discours
aponévrose	esorvénopa	de άπό, de, et νεύρο?, nerf, parce que les anciens, qui appelaient νεύρο? toutes les parties blanches, regardaient les aponévroses comme des expansions nerveuses 
aponévrotomie	eimotorvénopa	de àffνεύρωσις, aponévrose, et τομή, section
apophlegmatisant	tnasitamgelhpopa	de άπό, de, hors. I et φλέγμα, phlegme, pitu ite 
apophthore	erohthpopa	de άπεφθείρειν, détruire
apophyse	esyhpopa	de άπε, de, et φύναι, naître, croître, comme si l’on disait excroissance
apoplexie	eixelpopa	de άποπλήσσω, je frappe de stupeur, de άπε, ex, et πλήσσειν, frapper ;
aporrhétine	enitéhrropa	de άπε, et ρητίνη, résine
aporrhinqse	esqnihrropa	de άπε, hors, et p'tv, nez
aposépédine	enidépésopa	de άπεσηπεσθαι, se pourrir
aposepsie	eispesopa	de άπεσηπεσθαι, se corrompre
apositie	eitisopa	de άπο, loin, et σϊτες, aLment
aposképarnismos	somsinrapéksopa	de im, indiquant ablation, et σκε'παρνόν, doloire
apospastique	euqitsapsopa	de άπα,1Τ0Γ8, et σπ$ω, je tire
apostase	esatsopa	de από, hors, et στάσι, stase
apostème	emètsopa	de άφίσττ,αι, je divise, j’écarte, de im, indiquant écartement, et ΐστψ.>., je pose
aposyrme	emrysopa	de άποσύρειν, racler
apothème	emèhtopa	de άποτίθεσθαι, déposer, de άπο, en, et τίθεσθαι, mettre
apothérapie	eiparéhtopa	de im, après, et θεραπεία, traitement
apothermon	nomrehtopa	de im, après, et θερυ.ός, chaud
apothèse	esèhtopa	de άποτίθεσθα·., déposer
apothicaire	eriacihtopa	de imtwc,, serre, lieu de réserve, de από, à l’écart, et trim, loge, du même radical que τίθεσθαι, poser;
apozème	emèzopa	de άπείεΐν, faire bouillir
aproctie	eitcorpa	de a priv., et πρωκτός, anus
aprosopie	eiposorpa	de a priv.. et πρόσωπο?, visage 
apséphalésie	eisélahpéspa	de a priv., et ψηφάλησις, attouchement
apsychie	eihcyspa	de a priv., et ψυχή, âme, vie 
aptère	erètpa	de a priv., et πτερρν, aile
aptyalie	eilaytpa	de a priv., et πτύαλον, salive
apyre	erypa	de a priv., et πΰ?, feu
apyrénomèle	elèmonérypa	de a priv., πυρήν, noyau, et μήλη, sonde
apyrétique	euqitérypa	de a privatif, et πυρετός, fièvre
aqueduc	cudeuqa	de aqua, eau, et ducere, conduire; ύ^
arachnides	sedinhcara	de αράχνη, araignée
arachnoïde	edïonhcara	de αράχνη, toile d’araignée, et είΑες, ressemblance
archégone	enogéhcra	de άρχή, commencement, et γόνος, naissance; archegOnium, pistillidium
archélogie	eigoléhcra	de αρχή, principe, et λόγος, discours
archiatre	ertaihcra	de άρχός, premier, et ιατρός, médecin
archoptose	esotpohcra	de άρχος, le rectum, βίπτώσις, chute
archyle	elyhcra	de αρχή, principe, et ΰλη, matière
ardent	tnedra	de arderef brûler; ζαυσώίης
aréomètre	ertèmoéra	de άραώς, léger, poreux, peu dense, et de αετρον, mesure
aréotique	euqitoéra	de αραιός, rare, peu dense
argéma	amégra	de αργός, blanc
argent	tnegra	de άργος, blanc
argile	eligra	de άργος, blanc
argonaute	etuanogra	de Αργώ, le vaisseau Argo, et ναύτες, matelot; nautile ou pompile des anciens
argyriasis	sisairygra	de άργύριον, argent, et la finale médicale asis ou ase
argyrides	sedirygra	de άργυρος, argent
argyropée	eéporygra	de άργυρος, argent, et ποιεΐν, faire
aristoloche	ehcolotsira	de άριστος, très-bon, et λοχεία, lochies
arnica	acinra	Ptarmica montana, Willd.: ptarmica vient de πταίρω, j’éternue, l’odeur de l’arnica provoquant l’éternument, ce qui a fait employer ses feuilles au lieu de tabac, sous le nom de tabac des Vosges;
